Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2/27/18 0:00,10329.99,10355.22,10318,10324.11,72.76,752260.61,10339.31
2/27/18 0:15,10333.13,10365.78,10303.62,10353.76,86.21,890497,10329.52
2/27/18 0:30,10353.82,10410,10334.51,10407.96,105.78,1097655.15,10376.63
2/27/18 0:45,10407.99,10419.89,10359.35,10369.99,140.03,1455325.21,10393.23
2/27/18 1:00,10369.99,10409.07,10345.84,10354.53,67.77,702379.81,10364.74
2/27/18 1:15,10352.02,10367.88,10316.2,10345.6,54.66,565366.96,10343.1
2/27/18 1:30,10345.62,10349.97,10178.54,10181.82,270.25,2768163.28,10242.83
2/27/18 1:45,10178.56,10228.13,10150.01,10208.43,199.47,2031133.72,10182.76
2/27/18 2:00,10205.99,10240,10150,10163.99,81.64,831696.35,10186.79
2/27/18 2:15,10157.44,10214,10151.24,10205.57,107.27,1092486.66,10184.89
2/27/18 2:30,10207.99,10251.01,10205.34,10210.94,56.84,581477.7,10230.33
2/27/18 2:45,10210.66,10239.77,10170.01,10170.01,43.19,441373.34,10218.18
2/27/18 3:00,10170,10211.62,10170,10211.62,55.89,569442.61,10189.41
2/27/18 3:15,10207.01,10295.01,10205.88,10270.97,97.4,998483.52,10251.64
2/27/18 3:30,10262.46,10337.99,10262.46,10317.9,58.78,605730.35,10305.45
2/27/18 3:45,10317.9,10317.9,10270.01,10290.48,74.61,767752.04,10290
2/27/18 4:00,10286.68,10338.25,10279.99,10306.11,53.15,547580.82,10302.13
2/27/18 4:15,10306.11,10363.49,10306.11,10313.95,168.34,1740705.35,10340.59
2/27/18 4:30,10319.81,10340.37,10290,10297.44,23.41,241465.31,10312.71
2/27/18 4:45,10289.32,10330,10289.32,10293.06,34.23,353119.96,10317.32
2/27/18 5:00,10292.53,10316.32,10213.52,10242.87,28.93,297023.6,10266.17
2/27/18 5:15,10230.32,10289.81,10230.32,10271.33,20.96,214941.8,10256.91
2/27/18 5:30,10269.99,10344.66,10264.01,10312.72,31.69,327037.51,10320.09
2/27/18 5:45,10310.43,10347.41,10300.42,10316.52,44.13,456061.95,10334.29
2/27/18 6:00,10325.98,10383.9,10320.6,10343.98,63.66,659362.29,10357.14
2/27/18 6:15,10343.99,10349.15,10220,10267.01,84.37,866742.01,10273.31
2/27/18 6:30,10267.01,10326.3,10267.01,10310.02,77.24,796347.07,10309.71
2/27/18 6:45,10310.02,10341.99,10262.12,10315.69,151.21,1556485,10293.36
2/27/18 7:00,10315.69,10365.46,10311.39,10361.99,34.99,361940.27,10342.77
2/27/18 7:15,10355.17,10362,10311.38,10325.01,30.87,319016.9,10335.8
2/27/18 7:30,10334.99,10356.68,10319.37,10349.77,64.09,662518.35,10337.23
2/27/18 7:45,10349.77,10656.55,10333.01,10631.6,715.53,7553233.01,10556.07
2/27/18 8:00,10628.06,10710,10614.66,10685,308.78,3294364.46,10669.06
2/27/18 8:15,10690.01,10733.99,10669,10702.67,210.75,2257192.1,10710.3
2/27/18 8:30,10702.67,10753.3,10663.99,10700.84,181.65,1946649.34,10716.55
2/27/18 8:45,10708.27,10731.82,10682.26,10703.71,105.61,1130707.42,10706.01
2/27/18 9:00,10703.71,10715.55,10665.35,10682.58,103.49,1106314.13,10689.86
2/27/18 9:15,10682.99,10718.87,10675.01,10695.01,68.57,733459.92,10697.22
2/27/18 9:30,10695,10780,10688.71,10730.16,117.26,1258347.46,10731.64
