Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2/27/18 0:00,10329.99,10365.78,10303.62,10353.76,158.97,1642757.6,10334
2/27/18 0:30,10353.82,10419.89,10334.51,10369.99,245.81,2552980.36,10386.09
2/27/18 1:00,10369.99,10409.07,10316.2,10345.6,122.43,1267746.77,10355.08
2/27/18 1:30,10345.62,10349.97,10150.01,10208.43,469.72,4799296.99,10217.32
2/27/18 2:00,10205.99,10240,10150,10205.57,188.91,1924183.02,10185.71
2/27/18 2:30,10207.99,10251.01,10170.01,10170.01,100.03,1022851.04,10225.08
2/27/18 3:00,10170,10295.01,10170,10270.97,153.28,1567926.13,10228.95
2/27/18 3:30,10262.46,10337.99,10262.46,10290.48,133.39,1373482.39,10296.81
2/27/18 4:00,10286.68,10363.49,10279.99,10313.95,221.49,2288286.16,10331.36
2/27/18 4:30,10319.81,10340.37,10289.32,10293.06,57.64,594585.27,10315.45
2/27/18 5:00,10292.53,10316.32,10213.52,10271.33,49.89,511965.4,10262.28
2/27/18 5:30,10269.99,10347.41,10264.01,10316.52,75.82,783099.46,10328.35
2/27/18 6:00,10325.98,10383.9,10220,10267.01,148.03,1526104.3,10309.36
2/27/18 6:30,10267.01,10341.99,10262.12,10315.69,228.45,2352832.08,10298.89
2/27/18 7:00,10315.69,10365.46,10311.38,10325.01,65.86,680957.17,10339.5
2/27/18 7:30,10334.99,10656.55,10319.37,10631.6,779.63,8215751.36,10538.08
2/27/18 8:00,10628.06,10733.99,10614.66,10702.67,519.53,5551556.56,10685.79
2/27/18 8:30,10702.67,10753.3,10663.99,10703.71,287.26,3077356.76,10712.67
2/27/18 9:00,10703.71,10718.87,10665.35,10695.01,172.06,1839774.06,10692.79
2/27/18 9:30,10695,10780,10688.71,10746.26,163.6,1755543.57,10730.46
2/27/18 10:00,10737.79,10746.69,10679.87,10681,126.48,1354230.12,10706.67
2/27/18 10:30,10681,10698.89,10616.67,10659.42,224.93,2398693.48,10664.33
2/27/18 11:00,10658.72,10717.9,10641.66,10682.64,110.58,1182004.59,10689.21
2/27/18 11:30,10696.99,10762.21,10682.49,10706.99,370.55,3973617.56,10723.66
2/27/18 12:00,10705.73,10743.99,10676.29,10676.29,257.27,2756791.5,10715.43
2/27/18 12:30,10676.29,10699.99,10640.4,10678.15,188.81,2015008.21,10672.06
2/27/18 13:00,10678.16,10765,10674.01,10754.77,153.79,1648439.59,10718.79
2/27/18 13:30,10765,10850,10720.21,10850,441.23,4767211.12,10804.37
2/27/18 14:00,10850,10850,10650,10674.46,319.29,3431606.79,10747.71
2/27/18 14:30,10674.46,10714.99,10656.63,10672.52,152.81,1632767.53,10684.92
2/27/18 15:00,10680,10680,10478.56,10512.09,715.78,7558054.19,10559.26
2/27/18 15:30,10512.09,10609.89,10500,10576.01,153.9,1625840.07,10564.55
2/27/18 16:00,10578.37,10645,10563.32,10596.81,214.2,2269354.27,10594.73
2/27/18 16:30,10592.47,10677.99,10556.3,10630.83,167.46,1777555.98,10614.65
2/27/18 17:00,10621.2,10634.74,10570.88,10605,215.53,2287278.29,10612.46
2/27/18 17:30,10605,10630,10539.87,10577.92,160.13,1692601.46,10570.18
2/27/18 18:00,10570,10635,10563.28,10613.46,68.67,728349.89,10606.05
2/27/18 18:30,10614.88,10645.9,10593,10623.6,69.01,732701,10617.7
2/27/18 19:00,10621.65,10688.17,10618.43,10659.99,212.07,2258430.1,10649.35
2/27/18 19:30,10659.99,10738.99,10654.23,10666.42,288.25,3086478.55,10707.77
2/27/18 20:00,10673.06,10724.89,10661.58,10710.81,70.74,756671.88,10697.14
2/27/18 20:30,10710.79,10710.82,10593.4,10660,207.17,2205166.75,10644.12
2/27/18 21:00,10660,10706.56,10634.73,10697.57,117.27,1252276.72,10678.86
2/27/18 21:30,10704.52,10775,10688.2,10762.48,337.89,3630367.25,10744.14
2/27/18 22:00,10763.83,10797,10717.09,10773.99,174.92,1883716.69,10769.2
2/27/18 22:30,10773.99,10773.99,10701.53,10720.01,118.85,1275150.27,10729.22
2/27/18 23:00,10735.83,10750.69,10632,10647.29,257.59,2755347.31,10696.54
2/27/18 23:30,10648.15,10699.12,10555.79,10566.3,171.53,1822015.18,10622.22
2/28/18 0:00,10572.49,10650,10551,10630,114.56,1213582.78,10593.52
2/28/18 0:30,10630.01,10675,10611,10650.41,92.98,990277.09,10650.49
2/28/18 1:00,10640.86,10707.58,10627.76,10678.29,239.2,2556998.13,10689.93
2/28/18 1:30,10674.45,10717.67,10659.5,10698.87,74.98,801759.44,10692.5
2/28/18 2:00,10698.87,10775,10673.77,10706.41,189.64,2035148.26,10731.41
2/28/18 2:30,10715.99,10733.14,10675.3,10675.3,113.43,1214750.88,10709.68
2/28/18 3:00,10678.39,10949,10675.97,10912.75,382.58,4148808.27,10844.43
2/28/18 3:30,10912.75,10960,10865.55,10916.11,266.73,2914661.51,10927.43
2/28/18 4:00,10903.46,10980.74,10903.46,10954.75,257.38,2818575.79,10950.87
2/28/18 4:30,10950,10964.99,10885,10907.21,169.67,1851084.55,10910.01
2/28/18 5:00,10907.21,10939,10891.76,10939,77.62,847895.4,10923.61
2/28/18 5:30,10939,10964.23,10912.92,10940.47,133.19,1457322.02,10941.52
2/28/18 6:00,10945.67,11051.15,10923.1,11051.12,299.29,3293812.9,11005.5
2/28/18 6:30,11051.15,11064.75,10785.01,10803.99,551.82,6013056.41,10896.82
2/28/18 7:00,10809.73,10813.58,10646.44,10746.99,311.42,3335446.65,10710.59
2/28/18 7:30,10746.99,10807.13,10730,10748.51,191.98,2069891.32,10781.82
2/28/18 8:00,10751.99,10813.99,10742.62,10771.78,154.76,1668631.41,10781.81
2/28/18 8:30,10771.99,10773.68,10488.13,10493.67,472.03,5004702.79,10602.47
2/28/18 9:00,10496.77,10600,10475.04,10568.21,264.95,2787961.24,10522.55
2/28/18 9:30,10568.24,10634.01,10530,10602.99,235.36,2493822.66,10595.88
2/28/18 10:00,10600.83,10635,10539,10539,185.95,1971827.33,10603.88
2/28/18 10:30,10553.99,10591.99,10500,10582.47,200.89,2121223.76,10559.18
2/28/18 11:00,10576.27,10624.84,10523.6,10621.39,153.04,1619629.96,10583.01
2/28/18 11:30,10602.63,10656.03,10555.35,10567.9,116.27,1233087.62,10605.46
2/28/18 12:00,10567.89,10615,10516,10523.96,140.76,1489290.78,10580.67
2/28/18 12:30,10525.3,10525.3,10375,10410.38,793,8258520.74,10414.29
2/28/18 13:00,10394.44,10500,10364.78,10483.84,251.33,2619546.6,10422.89
2/28/18 13:30,10481.16,10513.79,10447.23,10470,204.34,2143245.3,10488.5
2/28/18 14:00,10464.16,10501.37,10437.79,10490,159.73,1671004.4,10461.37
2/28/18 14:30,10489.99,10562.94,10473.15,10514.87,245.21,2582202.44,10530.64
2/28/18 15:00,10514.99,10568.75,10500,10556.62,169.33,1783672.02,10533.46
2/28/18 15:30,10549.99,10556.63,10470,10496.24,106.45,1117564.02,10498.82
2/28/18 16:00,10510.99,10521.43,10443.96,10457.31,122.89,1287529.34,10476.9
2/28/18 16:30,10460.99,10483.69,10400,10400,124.42,1299055.51,10441.01
2/28/18 17:00,10405.09,10496,10400,10453.77,75.75,791334,10446.13
2/28/18 17:30,10453.77,10494.81,10426,10447.15,114.16,1194764.52,10465.57
2/28/18 18:00,10447.15,10566.01,10447.15,10530.2,343.08,3610910.47,10524.94
2/28/18 18:30,10549.16,10549.16,10443.59,10483.3,113.65,1191606.05,10485.13
2/28/18 19:00,10482.78,10533,10475.43,10493,74.03,778169.68,10510.98
2/28/18 19:30,10503.56,10551.25,10474.46,10551.25,119.56,1259309.11,10533.25
2/28/18 20:00,10555.13,10681.3,10555.06,10640.92,476.89,5070335.7,10632.15
